Country,RES
Panama,7.379268751693122e-12
"Venezuela, República Bolivariana de",2.9016241722530797e-12
"Aruba, Kingdom of the Netherlands",1.9645445939353098e-11
Antigua and Barbuda,1.101606159729016e-14
"Aruba, Kingdom of the Netherlands",5.6375027449684367e-14
"Bahamas, The",1.3696395130322089e-11
"Venezuela, República Bolivariana de",1.2074958529991122e-14
"Aruba, Kingdom of the Netherlands",1.508976253794433e-11
"Venezuela, República Bolivariana de",3.301620280145118e-12
"Aruba, Kingdom of the Netherlands",1.2985986286380922e-14
Antigua and Barbuda,2.1670625306835624e-11
"Aruba, Kingdom of the Netherlands",1.0041277260984378e-14
Antigua and Barbuda,1.0040893185201751e-14
"Bahamas, The",1.5459050250712256e-14
"Bahamas, The",1.328648717870781e-11
"Venezuela, República Bolivariana de",1.916344965187032e-12
"Venezuela, República Bolivariana de",1.0084293748638533e-14
"Aruba, Kingdom of the Netherlands",1.2182883824909136e-14
Antigua and Barbuda,1.1613031354377926e-11
Peru,1.2510427109014968e-11
Paraguay,1.2991850816321e-10
Peru,2.4869329408419733e-13
Uruguay,1.2814968862650868e-12
Uruguay,1.364258726540348e-11
Peru,1.1389767333785638e-14
Uruguay,4.1658395686788925e-14
Peru,3.3382626461108063e-12
Uruguay,7.414659798759012e-13
Paraguay,1.0065089959507215e-14
"Venezuela, República Bolivariana de",5.634660584177001e-14
Peru,8.276333817081321e-14
Paraguay,2.706433402840304e-12
Paraguay,2.0385409914834032e-08
Paraguay,1.2991850816321e-10
Uruguay,9.065114860770533e-12
Peru,4.35906809491823e-13
Peru,4.35906809491823e-13
Paraguay,7.790936538543393e-12
Uruguay,1.2814968862650868e-12
Uruguay,3.641402461687996e-10
Peru,7.0151864180071295e-12
Uruguay,1.1317561086651877e-14
Uruguay,5.764170938078621e-14
Peru,1.234269775805998e-13
Paraguay,6.845394580099436e-12
"Venezuela, República Bolivariana de",1.916344965187032e-12
Uruguay,2.0948176954559199e-10
Uruguay,1.198594666291276e-11
Paraguay,2.7223291472558625e-14
Peru,1.0160724829381186e-14
Paraguay,1.4270968002067454e-08
Paraguay,6.490343020290339e-14
Peru,6.16391432410569e-12
Dominica,1.0304753247866083e-14
Barbados,4.9122140370567583e-14
Barbados,1.9694741681977414e-11
Grenada,6.430811273983247e-14
Dominica,9.554232681414765e-12
Grenada,6.8172168603070514e-12
Dominica,6.1657298503301656e-12
Dominica,1.1399369228351299e-14
Barbados,1.295833283003182e-14
Dominica,1.0528669429137269e-14
Grenada,1.212782886592434e-11
"Aruba, Kingdom of the Netherlands",2.238469016815161e-11
Antigua and Barbuda,1.1842976757284779e-14
Barbados,2.0040429474206077e-11
Antigua and Barbuda,1.2282359452609372e-14
"Bahamas, The",1.0043197639897509e-14
Antigua and Barbuda,8.032479109706651e-12
"Aruba, Kingdom of the Netherlands",1.2985986286380922e-14
Antigua and Barbuda,1.2282359452609372e-14
"Aruba, Kingdom of the Netherlands",1.2482078859575095e-14
"Bahamas, The",1.6121196899960154e-14
"Bahamas, The",1.5589643698320884e-11
"Bahamas, The",1.4909042975869352e-11
"Aruba, Kingdom of the Netherlands",1.7259332123298986e-11
"Aruba, Kingdom of the Netherlands",2.7002743251825293e-11
"Venezuela, República Bolivariana de",1.0
"Bahamas, The",5.3141493435752777e-14
"Bahamas, The",1.601519198395527e-14
"Bahamas, The",1.6121196899960154e-14
Antigua and Barbuda,1.7424455135993074e-11
Antigua and Barbuda,1.020302463162496e-11
"Aruba, Kingdom of the Netherlands",1.1685889762190587e-14
Antigua and Barbuda,1.0870496875674757e-14
Antigua and Barbuda,1.1241130005909224e-14
"Venezuela, República Bolivariana de",9.746844766022987e-14
"Bahamas, The",1.6398883690799036e-14
"Bahamas, The",1.4909042975869352e-11
"Aruba, Kingdom of the Netherlands",1.297561624025001e-14
"Bahamas, The",1.1337917103131076e-14
Antigua and Barbuda,5.781262310405495e-14
Jamaica,1.845138467315447e-14
Belize,1.2341507123133835e-14
Puerto Rico,1.522411339893439e-11
Belize,1.250089857292379e-14
Guyana,2.6853426493889413e-14
Guyana,2.354221545737633e-11
Belize,1.1270703841171457e-14
Puerto Rico,1.2504303788812554e-11
Jamaica,7.537256788573356e-14
Jamaica,9.83464448993138e-15
Jamaica,1.3327671624878839e-12
Puerto Rico,5.837298967090686e-14
Belize,5.685012919279321e-14
Jamaica,4.810550064610612e-10
Guyana,1.9847023889030946e-12
Grenada,1.093617383450387e-14
Guyana,4.498986902529025e-14
Guyana,1.0053183610245795e-14
Grenada,1.1031808704377841e-14
Grenada,1.1441233488657575e-14
Grenada,1.0559011415964753e-14
Barbados,8.03700352242599e-12
Barbados,1.2702538358802646e-14
Grenada,4.4981104415930706e-12
Barbados,1.587615655064452e-14
Barbados,1.1333308193739559e-14
Dominica,3.5449261432264148e-12
Dominica,1.0040509109419126e-14
Grenada,1.0040509109419126e-14
Dominica,1.0783311673018566e-14
Barbados,1.0041661336767005e-14
Dominica,1.0754505989321587e-14
Grenada,8.586251479446643e-12
Barbados,1.5775528695596402e-14
Grenada,7.758860833633132e-12
Barbados,9.147381973030193e-12
Dominica,6.618701146844078e-14
Barbados,1.595988507125707e-14
Barbados,1.0025234799619856e-11
Grenada,1.0961906911939838e-14
Dominica,1.0564772552704149e-14
Dominica,7.017253129793441e-12
Grenada,1.1441233488657575e-14
Dominica,6.5387999414053975e-12
St. Lucia,1.0041277260984378e-14
St. Kitts and Nevis,1.067538637810055e-14
Puerto Rico,1.9462198774552654e-11
St. Kitts and Nevis,7.85563295189946e-12
St. Kitts and Nevis,1.0443788681176836e-14
St. Kitts and Nevis,1.1129363953164945e-14
Puerto Rico,1.0071235172029236e-14
St. Vincent and the Grenadines,1.1069448131075227e-14
St. Kitts and Nevis,5.6766016596398034e-14
St. Lucia,1.2709835798672546e-14
St. Lucia,5.373220198943217e-14
St. Kitts and Nevis,1.1129363953164945e-14
St. Vincent and the Grenadines,6.610694703079449e-12
