File,Size_KB
QSSI_2026_STAGE11E_FINAL_REPORT.csv,0.176
QSSI_2026_Robustness_Validation.csv,0.214
LEGAL_WGI_2026_v1 (3).csv,22.523
QSSI_2026_Manifest.json,0.96
QSSI_2026_STAGE13B_FINAL_REPORT.csv,0.173
QSSI_2026_WORLD_PUBLICATION_PACKAGE/CHANGELOG.md,0.353
QSSI_2026_WORLD_PUBLICATION_PACKAGE/README.md,0.214
QSSI_2026_WORLD_PUBLICATION_PACKAGE/metadata/QSSI_2026_Publication_Metadata.json,0.403
QSSI_2026_WORLD_PUBLICATION_PACKAGE/registry/QSSI_2026_Publication_Registry.csv,0.136
QSSI_2026_INSTITUTIONAL_RELEASE/README.txt,0.263
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_MASTER_STAGE10B.csv,73.349
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Weight_Sensitivity_Summary.csv,0.145
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Tier_Stability.csv,0.092
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Shapley_LODO.csv,0.165
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Environment_Report.csv,0.15
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Dominance_Analysis.csv,0.433
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Weight_Sensitivity.csv,0.404
QSSI_2026_INSTITUTIONAL_RELEASE/data/QSSI_2026_Robustness_Validation.csv,0.214
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE11D_FINAL_REPORT.csv,0.125
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE11C_FINAL_REPORT.csv,0.133
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE10B_FINAL_REPORT.csv,0.252
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE11B_FINAL_REPORT.csv,0.157
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE11A_FINAL_REPORT.csv,0.241
QSSI_2026_INSTITUTIONAL_RELEASE/publication/QSSI_2026_STAGE11E_FINAL_REPORT.csv,0.176
QSSI_2026_INSTITUTIONAL_RELEASE/citation/QSSI_2026.ris,0.352
QSSI_2026_INSTITUTIONAL_RELEASE/citation/QSSI_2026.bib,0.54
QSSI_2026_INSTITUTIONAL_RELEASE/citation/QSSI_2026_Citation.txt,1.652
QSSI_2026_INSTITUTIONAL_RELEASE/citation/CITATION.cff,0.592
QSSI_2026_INSTITUTIONAL_RELEASE/release_notes/RELEASE_NOTES.txt,0.257
QSSI_2026_INSTITUTIONAL_RELEASE/license/DISCLAIMER.txt,0.239
QSSI_2026_INSTITUTIONAL_RELEASE/license/ACADEMIC_LICENSE.txt,0.225
QSSI_2026_INSTITUTIONAL_RELEASE/license/LICENSE.txt,0.567
QSSI_2026_INSTITUTIONAL_RELEASE/license/COMMERCIAL_LICENSE.txt,0.245
QSSI_2026_INSTITUTIONAL_RELEASE/license/TRADEMARK_NOTICE.txt,0.257
QSSI_2026_INSTITUTIONAL_RELEASE/reproducibility/QSSI_2026_Artifact_Registry.csv,0.513
QSSI_2026_INSTITUTIONAL_RELEASE/reproducibility/QSSI_2026_File_Hashes.csv,1.369
QSSI_2026_INSTITUTIONAL_RELEASE/reproducibility/QSSI_2026_Metadata_Audit.csv,0.406
QSSI_2026_INSTITUTIONAL_RELEASE/reproducibility/QSSI_2026_Reproducibility_Audit.csv,0.18
QSSI_2026_INSTITUTIONAL_RELEASE/reproducibility/QSSI_2026_Manifest.json,0.96
QSSI_2026_INSTITUTIONAL_RELEASE/manifest/QSSI_2026_Zenodo_Metadata.json,0.584
QSSI_2026_INSTITUTIONAL_RELEASE/manifest/QSSI_2026_Release_Registry.csv,1.365
QSSI_2026_INSTITUTIONAL_RELEASE/benchmark/QSSI_2026_Benchmark_Scorecard.csv,0.206
QSSI_2026_INSTITUTIONAL_RELEASE/benchmark/QSSI_2026_Benchmark_Report.csv,0.16
QSSI_2026_INSTITUTIONAL_RELEASE/benchmark/QSSI_2026_Global_Benchmark.csv,0.16
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Enterprise_Metadata.json,0.258
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Government_Metadata.json,0.192
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_API_Metadata.json,0.152
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Distribution_Matrix.csv,0.083
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Deployment_Manifest.json,0.324
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Academic_Metadata.json,0.191
QSSI_2026_COMMERCIAL_DEPLOYMENT/QSSI_2026_Release_Channel_Registry.csv,0.093
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Enterprise_Infrastructure_Manifest.json,0.385
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Publication_Registry.csv,0.123
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Infrastructure_Audit.csv,0.104
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Deployment_Targets.csv,0.118
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Repository_Registry.csv,0.193
QSSI_2026_ENTERPRISE_INFRASTRUCTURE/QSSI_2026_Reproducibility_Registry.csv,0.127
QSSI_2026_Distribution/README.txt,0.23
QSSI_2026_Distribution/data/QSSI_2026_MASTER_STAGE10B.csv,73.349
QSSI_2026_Distribution/citation/QSSI_2026.ris,0.352
QSSI_2026_Distribution/citation/QSSI_2026_Zenodo_Metadata.json,0.584
QSSI_2026_Distribution/citation/QSSI_2026.bib,0.54
QSSI_2026_Distribution/citation/QSSI_2026_STAGE11C_FINAL_REPORT.csv,0.133
QSSI_2026_Distribution/citation/QSSI_2026_Citation.txt,1.652
QSSI_2026_Distribution/citation/CITATION.cff,0.592
QSSI_2026_Distribution/license/DISCLAIMER.txt,0.239
QSSI_2026_Distribution/license/QSSI_2026_STAGE11D_FINAL_REPORT.csv,0.125
QSSI_2026_Distribution/license/ACADEMIC_LICENSE.txt,0.225
QSSI_2026_Distribution/license/QSSI_2026_License_Registry.csv,0.305
QSSI_2026_Distribution/license/LICENSE.txt,0.567
QSSI_2026_Distribution/license/COMMERCIAL_LICENSE.txt,0.245
QSSI_2026_Distribution/license/TRADEMARK_NOTICE.txt,0.257
QSSI_2026_Distribution/reproducibility/QSSI_2026_Artifact_Registry.csv,0.513
QSSI_2026_Distribution/reproducibility/QSSI_2026_File_Hashes.csv,1.369
QSSI_2026_Distribution/reproducibility/QSSI_2026_Metadata_Audit.csv,0.406
QSSI_2026_Distribution/reproducibility/QSSI_2026_Reproducibility_Audit.csv,0.18
QSSI_2026_Distribution/reproducibility/QSSI_2026_STAGE11A_FINAL_REPORT.csv,0.241
QSSI_2026_Distribution/reproducibility/QSSI_2026_Environment_Report.csv,0.15
QSSI_2026_Distribution/reproducibility/QSSI_2026_Manifest.json,0.96
QSSI_2026_Distribution/manifest/QSSI_2026_Distribution_Registry.csv,1.395
QSSI_2026_Distribution/validation/QSSI_2026_Weight_Sensitivity_Summary.csv,0.145
QSSI_2026_Distribution/validation/QSSI_2026_Tier_Stability.csv,0.092
QSSI_2026_Distribution/validation/QSSI_2026_Shapley_LODO.csv,0.165
QSSI_2026_Distribution/validation/QSSI_2026_STAGE10B_FINAL_REPORT.csv,0.252
QSSI_2026_Distribution/validation/QSSI_2026_Dominance_Analysis.csv,0.433
QSSI_2026_Distribution/validation/QSSI_2026_Weight_Sensitivity.csv,0.404
QSSI_2026_Distribution/validation/QSSI_2026_Robustness_Validation.csv,0.214
QSSI_2026_Distribution/benchmark/QSSI_2026_Benchmark_Scorecard.csv,0.206
QSSI_2026_Distribution/benchmark/QSSI_2026_Benchmark_Report.csv,0.16
QSSI_2026_Distribution/benchmark/QSSI_2026_STAGE11B_FINAL_REPORT.csv,0.157
QSSI_2026_Distribution/benchmark/QSSI_2026_Global_Benchmark.csv,0.16
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_Rights_Metadata.json,0.274
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_IP_Manifest.json,0.38
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_License_Matrix.csv,0.108
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_Distribution_Rights.csv,0.087
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_IP_Audit_Report.csv,0.137
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_Copyright_Registry.csv,0.211
QSSI_2026_IP_INFRASTRUCTURE/QSSI_2026_Trademark_Registry.csv,0.057
