country,QSSI_SCORE,QSSI_NO_RES,QSSI_RANK,QSSI_NO_RES_RANK,SCORE_CHANGE_RES,RANK_CHANGE_RES
Qatar,0.6095159390545777,0.6133862565822198,49,56.0,-0.0038703175276421087,7.0
Bahrain,0.6066134711157679,0.6387573328879967,50,53.0,-0.03214386177222883,3.0
Liechtenstein,0.5884886884064999,0.6315605390124287,51,55.0,-0.043071850605928774,4.0
Brazil,0.5818359702041854,0.6903468903284484,52,45.0,-0.108510920124263,-7.0
Bulgaria,0.5800366164635414,0.6587488225982073,53,50.0,-0.0787122061346659,-3.0
Rwanda,0.5783854176242116,0.605801525421519,54,60.0,-0.02741610779730741,6.0
Croatia,0.5740443680359222,0.6415575884596686,55,51.0,-0.06751322042374641,-4.0
Andorra,0.5738321825306107,0.5982663420146616,56,66.0,-0.02443415948405081,10.0
Slovakia,0.5723410234841839,0.5999971742025461,57,65.0,-0.027656150718362138,8.0
Mauritius,0.5709206527247461,0.6094200683969389,58,58.0,-0.03849941567219273,0.0
Kazakhstan,0.5698505441930789,0.6396563607419626,59,52.0,-0.06980581654888374,-7.0
Thailand,0.5680759183096611,0.6132304202386049,60,57.0,-0.04515450192894377,-3.0
Ukraine,0.5593559989497466,0.6679656410623508,61,49.0,-0.10860964211260415,-12.0
Argentina,0.5553201442839334,0.6053409728046795,62,61.0,-0.050020828520746075,-1.0
Brunei Darussalam,0.5525633069485464,0.5419785570680183,63,80.0,0.010584749880528044,17.0
Monaco,0.5461785135448523,0.5804647654913283,64,70.0,-0.034286251946476054,6.0
Philippines,0.5440346965193992,0.6005566107966664,65,64.0,-0.05652191427726727,-1.0
Sri Lanka,0.543821221893437,0.5767108852693795,66,71.0,-0.03288966337594257,5.0
Indonesia,0.5356212374360702,0.5706194234735857,67,75.0,-0.03499818603751559,8.0
Zambia,0.5346029217851107,0.5423426217356256,68,79.0,-0.007739699950514933,11.0
Russian Federation,0.5307298929617672,0.5365217790284137,69,85.0,-0.00579188606664649,16.0
Peru,0.5297610053596593,0.6071324505158193,70,59.0,-0.07737144515616001,-11.0
Albania,0.5268729739460356,0.6028632730647895,71,62.0,-0.07599029911875388,-9.0
Azerbaijan,0.5265615817773337,0.5931704999087678,72,68.0,-0.0666089181314341,-4.0
Bhutan,0.5258195863798749,0.5064810051738877,73,91.0,0.019338581205987193,18.0
Viet Nam,0.5257688459444916,0.6013712411320392,74,63.0,-0.07560239518754763,-11.0
Georgia,0.5228392854678167,0.5396219474274819,75,82.0,-0.016782661959665268,7.0
Republic of Moldova,0.5191559387659814,0.5711032459016566,76,74.0,-0.05194730713567519,-2.0
Iran (Islamic Republic of),0.5178327395611362,0.5761637269089114,77,73.0,-0.0583309873477752,-4.0
Kuwait,0.5128044998515102,0.46169165040563576,78,100.0,0.051112849445874464,22.0
Dominican Republic,0.5126702993314083,0.5762899125661082,79,72.0,-0.06361961323469989,-7.0
Türkiye,0.511667612293476,0.5926001004105802,80,69.0,-0.08093248811710418,-11.0
Benin,0.5093724820179744,0.49368772961385127,81,93.0,0.015684752404123092,12.0
Montenegro,0.5080848342078924,0.5531908411100817,82,77.0,-0.045106006902189244,-5.0
Ghana,0.501533000257028,0.5443636653007008,83,78.0,-0.04283066504367283,-5.0
Colombia,0.5011577004054464,0.5954071818091872,84,67.0,-0.09424948140374079,-17.0
Bangladesh,0.4984397901854976,0.5020491241406799,85,92.0,-0.0036093339551823145,7.0
San Marino,0.4930106551350054,0.5163774187168076,86,89.0,-0.02336676358180223,3.0
United Republic of Tanzania,0.4854324142051015,0.5099455251417516,87,90.0,-0.024513110936650095,3.0
South Africa,0.4819459755063374,0.5303433917585988,88,86.0,-0.048397416252261405,-2.0
Uzbekistan,0.4792116715304738,0.5366560728166223,89,84.0,-0.05744440128614853,-5.0
Costa Rica,0.4777087825916891,0.5543105402332018,90,76.0,-0.07660175764151272,-14.0
North Macedonia,0.4600058248788774,0.5384677596611794,91,83.0,-0.07846193478230201,-8.0
Ethiopia,0.4590409868498292,0.4520487709387052,92,103.0,0.006992215911123978,11.0
Morocco,0.4531584835291079,0.5407381306772269,93,81.0,-0.08757964714811894,-12.0
Kenya,0.4447328292632279,0.5230513955699361,94,87.0,-0.07831856630670819,-7.0
Tunisia,0.4386877272480286,0.5223288940399266,95,88.0,-0.08364116679189793,-7.0
Nigeria,0.436667442656433,0.49056760204836275,96,94.0,-0.05390015939192977,-2.0
Mongolia,0.4345139039153107,0.4468412739225752,97,104.0,-0.012327370007264526,7.0
Panama,0.4320087286195333,0.45566112032978345,98,102.0,-0.02365239171025013,4.0
Côte D'Ivoire,0.4315842818121324,0.46535344353852526,99,98.0,-0.03376916172639288,-1.0
Botswana,0.4311540002765598,0.4647600678204464,100,99.0,-0.033606067543886564,-1.0
Nepal,0.4297022099377396,0.4096089131457015,101,112.0,0.020093296792038084,11.0
Jamaica,0.4275380545155728,0.46825734722614676,102,97.0,-0.04071929271057395,-5.0
Senegal,0.4228240747246272,0.4336206994055706,103,105.0,-0.01079662468094339,2.0
Namibia,0.4137588415524626,0.4882272878013078,104,95.0,-0.07446844624884519,-9.0
El Salvador,0.4082676976291005,0.426346756798929,105,107.0,-0.01807905916982855,2.0
Cabo Verde,0.4065922870375396,0.45967646026372133,106,101.0,-0.05308417322618175,-5.0
Ecuador,0.401574987964204,0.47915938129567537,107,96.0,-0.07758439333147138,-11.0
Fiji,0.3982458980948024,0.4214988756347005,108,109.0,-0.023252977539898134,1.0
Armenia,0.3966389537688679,0.40966235058498773,109,111.0,-0.013023396816119859,2.0
Seychelles,0.3842670601868656,0.38113068586590454,110,116.0,0.0031363743209610884,6.0
Mexico,0.369013909882366,0.4178031033493848,111,110.0,-0.04878919346701882,-1.0
Kyrgyzstan,0.3664417414382034,0.4089994102128494,112,113.0,-0.04255766877464601,1.0
Algeria,0.3596490744106058,0.3933752809677071,113,115.0,-0.03372620655710129,2.0
Trinidad and Tobago,0.3554303866454198,0.4240759206609829,114,108.0,-0.06864553401556306,-6.0
Antigua and Barbuda,0.3523367395260399,0.3095345861591896,115,124.0,0.04280215336685028,9.0
Paraguay,0.3499709021115541,0.3984870405413932,116,114.0,-0.048516138429839095,-2.0
Pakistan,0.3464104067322657,0.42932007300672537,117,106.0,-0.08290966627445967,-11.0
Vanuatu,0.3435523964111124,0.34700183998750683,118,119.0,-0.0034494435763944287,1.0
Togo,0.3407689254462136,0.34364857342977945,119,120.0,-0.002879647983565825,1.0
Maldives,0.3354275332259167,0.28852646794625036,120,129.0,0.04690106527966631,9.0
Tuvalu,0.3337396284658702,0.25048623880561544,121,147.0,0.08325338966025475,26.0
Uganda,0.3325531748568273,0.32117961815789603,122,123.0,0.011373556698931253,1.0
Guyana,0.3272740763903095,0.2708172479366619,123,135.0,0.05645682845364758,12.0
Barbados,0.327129323979612,0.3542002432960629,124,118.0,-0.027070919316450948,-6.0
"Venezuela, Bolivarian Republic of",0.3266034848776059,0.28148071609714226,125,133.0,0.04512276878046362,8.0
Bosnia and Herzegovina,0.3237913671354498,0.3575429058345715,126,117.0,-0.033751538699121675,-9.0
Saint Lucia,0.3206759741580185,0.28838173876186446,127,130.0,0.03229423539615406,3.0
Democratic Republic of the Congo,0.3173883628216353,0.2962622024420706,128,127.0,0.021126160379564718,-1.0
Burkina Faso,0.3145070997369484,0.2869210509439103,129,131.0,0.02758604879303811,2.0
Kiribati,0.3105154040056224,0.2642243634113014,130,140.0,0.04629104059432099,10.0
Cambodia,0.305678148850344,0.28116976593546117,131,134.0,0.02450838291488283,3.0
Lesotho,0.3046090065774642,0.3227470756621519,132,122.0,-0.01813806908468768,-10.0
Solomon Islands,0.3017798670197852,0.21992821930047263,133,160.0,0.08185164771931258,27.0
Samoa,0.2973514634174724,0.33018010037685,134,121.0,-0.032828636959377655,-13.0
State of Palestine,0.2945162644832679,0.30726935263324456,135,126.0,-0.012753088149976666,-9.0
Cuba,0.2940675692343232,0.28981839606287274,136,128.0,0.00424917317145046,-8.0
Palau,0.2922634747954487,0.3076614562320078,137,125.0,-0.015397981436559127,-12.0
Gambia (Republic of The),0.2858344525946513,0.26842796337696756,138,136.0,0.01740648921768373,-2.0
Grenada,0.2845170176160677,0.2634028175988122,139,141.0,0.021114200017255502,2.0
Congo,0.2776508125428595,0.2428268570550132,140,151.0,0.03482395548784631,11.0
Bolivia (Plurinational State of),0.2720485327699667,0.26218285986086176,141,142.0,0.00986567290910495,1.0
Tonga,0.2712274391803627,0.25095548847900506,142,145.0,0.02027195070135762,3.0
Dominica,0.2698768895251699,0.26679783727378636,143,137.0,0.0030790522513835517,-6.0
Marshall Islands,0.2686068243932714,0.22086840375085376,144,159.0,0.04773842064241762,15.0
Nauru,0.2607095829585487,0.22239013427934426,145,157.0,0.03831944867920442,12.0
Gabon,0.2591576269692618,0.23513581493435673,146,155.0,0.024021812034905082,9.0
Belarus,0.2589565294512873,0.26471077378466384,147,139.0,-0.005754244333376568,-8.0
Belize,0.2587353727085568,0.24490088622203357,148,150.0,0.013834486486523218,2.0
Angola,0.2567994400403608,0.2552948462270669,149,144.0,0.0015045938132939307,-5.0
Eswatini,0.2567722496935739,0.2507840373903642,150,146.0,0.005988212303209672,-4.0
Cameroon,0.2507999643071714,0.28164558877007273,151,132.0,-0.030845624462901344,-19.0
Papua New Guinea,0.2496961521700742,0.24925891527656538,152,148.0,0.00043723689350883,-4.0
Bahamas,0.2462316468976323,0.26473988944886784,153,138.0,-0.018508242551235538,-15.0
Guatemala,0.2411994185220088,0.23954843545202456,154,153.0,0.0016509830699842354,-1.0
Lao People's Democratic Republic,0.2379738006218235,0.260353714030367,155,143.0,-0.022379913408543506,-12.0
Mauritania,0.2338813801780091,0.23092727994646642,156,156.0,0.002954100231542689,0.0
Chad,0.2314032666700174,0.1472991941569848,157,181.0,0.08410407251303259,24.0
Tajikistan,0.2270682946536962,0.23669355661142574,158,154.0,-0.00962526195772953,-4.0
Mozambique,0.2264824613282356,0.21643110281789155,159,162.0,0.010051358510344055,3.0
Lebanon,0.2259065755427814,0.24218961759160637,160,152.0,-0.01628304204882497,-8.0
Democratic People's Republic of Korea,0.223660918170814,0.17702133602218684,161,170.0,0.04663958214862715,9.0
Sierra Leone,0.2227214145058706,0.1805262804010666,162,167.0,0.042195134104803994,5.0
Malawi,0.2219195531368106,0.24673242824442373,163,149.0,-0.024812875107613125,-14.0
Myanmar,0.2192368568968872,0.1799816522269803,164,168.0,0.039255204669906923,4.0
Somalia,0.2128188767084305,0.21707795245150666,165,161.0,-0.004259075743076157,-4.0
Nicaragua,0.2062161957496984,0.15582574564797344,166,176.0,0.050390450101724965,10.0
Niger,0.2048284774433262,0.16871662947541013,167,172.0,0.036111847967916055,5.0
Honduras,0.2044166716582668,0.1903981219048475,168,165.0,0.01401854975341929,-3.0
Djibouti,0.203386874612521,0.2006634674824362,169,164.0,0.002723407130084815,-5.0
Saint Kitts and Nevis,0.2002970360143941,0.1570458966335904,170,175.0,0.043251139380803716,5.0
Saint Vincent and the Grenadines,0.1997224481824515,0.1652969939901878,171,173.0,0.0344254541922637,2.0
Libya,0.1996118977697452,0.18114263313897816,172,166.0,0.018469264630767035,-6.0
Micronesia (Federated States of),0.1954994912807953,0.15001528561710756,173,179.0,0.04548420566368774,6.0
Timor-Leste,0.190285356442934,0.17056455915971752,174,171.0,0.01972079728321649,-3.0
Iraq,0.1894133156451551,0.2212082778450542,175,158.0,-0.03179496219989911,-17.0
Guinea,0.1888239400153959,0.1592423189344046,176,174.0,0.0295816210809913,-2.0
Zimbabwe,0.1886862772189231,0.2063312461844253,177,163.0,-0.017644968965502217,-14.0
Sao Tome and Principe,0.1872638570498694,0.15478918214589288,178,177.0,0.032474674903976514,-1.0
Comoros,0.1771397090732355,0.14532249127884142,179,182.0,0.03181721779439409,3.0
Madagascar,0.1749315466875816,0.14461289373973363,180,183.0,0.03031865294784797,3.0
Mali,0.1699173851732953,0.1528617228311662,181,178.0,0.017055662342129102,-3.0
Suriname,0.1508272197199303,0.17805051959840096,182,169.0,-0.027223299878470664,-13.0
Equatorial Guinea,0.137526195769182,0.09952912655792834,183,186.0,0.037997069211253676,3.0
Syrian Arab Republic,0.129929194183687,0.1173759298526201,184,184.0,0.012553264331066905,0.0
Burundi,0.1231834651812578,0.09036984311061906,185,187.0,0.032813622070638745,2.0
Turkmenistan,0.1203193401300799,0.14911650136622645,186,180.0,-0.02879716123614655,-6.0
Central African Republic,0.1094124959789819,0.07307961231752229,187,188.0,0.036332883661459606,1.0
Liberia,0.0899798605505504,0.10745326360531382,188,185.0,-0.017473403054763414,-3.0
Eritrea,0.0725213387502083,0.04302366978838863,189,192.0,0.02949766896181967,3.0
South Sudan,0.0697633090928265,0.039762087106833,190,193.0,0.030001221985993504,3.0
Yemen,0.0663988693704045,0.05971369634405639,191,190.0,0.006685173026348107,-1.0
Sudan,0.0647833738091887,0.06739346736642705,192,189.0,-0.0026100935572383605,-3.0
Afghanistan,0.0646178943029949,0.05066251257902269,193,191.0,0.013955381723972211,-2.0
Haiti,0.0645093853426318,0.037625285864438966,194,194.0,0.026884099478192834,0.0
Guinea Bissau,0.0447237695139096,0.030678971652542374,195,195.0,0.014044797861367225,0.0
