COUNTRY,RES_IMF,RES_NDGAIN,RES_FINAL
Djibouti,0.2940028330232224,0.3873361309396531,0.3313361521897946
Israel,0.332642266807493,0.329296910242624,0.3313041241815454
Spain,0.3635903375992178,0.280906867808449,0.3305169496829103
Philippines,0.3153484445002151,0.3514989673859342,0.32980865365450274
Namibia,0.2705626905409763,0.4096667920207204,0.32620433113287395
Jamaica,0.3073553866765894,0.338089486900921,0.319649026766322
"Mozambique, Republic of",0.2938834488346603,0.3575102193534731,0.31933415704218543
Malta,0.3677012414553632,0.2422099061524082,0.31750470733418124
Slovak Republic,0.3106598784427656,0.3273074460113027,0.31731890547018043
Malaysia,0.3364167945282454,0.2882215309071553,0.31713868907980935
El Salvador,0.3251875390104387,0.3039202700124462,0.3166806314112417
Lao People's Democratic Republic,0.2831744029617973,0.3658604641313203,0.31624882742960647
Pakistan,0.2508408706318877,0.4142552809220975,0.3162066347479716
"Lesotho, Kingdom of",0.332646718673857,0.2873943278192697,0.3145457623320221
Argentina,0.3289898015195868,0.2923936059574044,0.3143513232947138
Ecuador,0.2692070938524539,0.3787776220288869,0.3130353051230271
"Azerbaijan, Republic of",0.3458576636879815,0.2571027817202852,0.31035571090090297
Chile,0.3137154423940813,0.3034964383275755,0.30962784076747896
Nigeria,0.3008850360256601,0.3184889371454499,0.307926596473576
Cameroon,0.2809630217163113,0.3473959353168684,0.30753618715653414
Gabon,0.3342435416901327,0.26686609077994,0.30729256132605565
Panama,0.3289658478524364,0.2700220720241995,0.3053883375211416
"Moldova, Republic of",0.3088838970368789,0.2975911077995681,0.3043667813419546
Hungary,0.3168656419800499,0.2838851953482513,0.3036734633273305
Montenegro,0.3267770222553735,0.2667974648569541,0.3027851992960057
Mongolia,0.3411344823817792,0.2439916160710107,0.3022773358574718
Haiti,0.295044385702965,0.3125618735664544,0.30205138084836075
"Armenia, Republic of",0.3288474437827566,0.255958889896425,0.299692022228224
Costa Rica,0.2916205115869112,0.3110089407911145,0.29937588326859255
"Yemen, Republic of",0.2793210940034775,0.3281794309412519,0.2988644287785872
Nicaragua,0.3503866164395698,0.2170923775055477,0.29706892086596093
St. Lucia,0.3151742204728567,0.2665903548592637,0.2957406742274195
Jordan,0.3332807339144116,0.2369639348186601,0.294754014276111
"Poland, Republic of",0.3216295442703272,0.2447980609160062,0.2908969509285988
"Eswatini, Kingdom of",0.2847542152694139,0.2982655613595461,0.2901587537054668
Albania,0.3062889542032536,0.2652932441300583,0.28989067017397546
Peru,0.3058952365781729,0.2639508923709832,0.28911749889529703
Bulgaria,0.3166633444094262,0.2419221205092652,0.28676685484936176
Honduras,0.3194349841520918,0.2368123876049697,0.286385945533243
Zimbabwe,0.2867575676769935,0.2822444334320818,0.2849523139790288
Bolivia,0.257413569678515,0.3242228626437799,0.2841372868646209
Colombia,0.2854323900611578,0.2813495844643486,0.28379926782243414
Czech Republic,0.3376576596074096,0.202077995783661,0.2834257940779102
Guatemala,0.318677054119325,0.2181667274925252,0.2784729234686051
"North Macedonia, Republic of",0.2952885865031451,0.250904813321311,0.2775350772304115
Russian Federation,0.3769519979130405,0.1276079891854993,0.277214394422024
"Kazakhstan, Republic of",0.3327189409774375,0.1882489272681857,0.2749309354937368
"Uzbekistan, Republic of",0.3546826173240872,0.1457880293414593,0.271124782131036
Brazil,0.2945977122098861,0.2334870515036251,0.2701534479273817
Ukraine,0.2894821414619282,0.2410818439992791,0.27012202247686856
"Egypt, Arab Republic of",0.2660244794645157,0.2595043070849901,0.2634164105127055
Libya,0.330512314467641,0.1588480717700548,0.2618466173886065
Mexico,0.3060183717701142,0.1917683945809346,0.26031838089444237
Trinidad and Tobago,0.2848063594705994,0.2204723235824268,0.25907274511533035
Iraq,0.2827943094694584,0.2182237937925159,0.2569661031986814
"Belarus, Republic of",0.3459027014242456,0.1206099513479058,0.25578560139370965
Suriname,0.2796757040422963,0.2133476507783791,0.2531444827367294
Tunisia,0.2917128098647876,0.1925034079576859,0.2520290491019469
Algeria,0.3219101508799989,0.1380080076020216,0.24834929356880797
Bosnia and Herzegovina,0.3165776960596979,0.125120047268294,0.23999463654313632
Paraguay,0.309392605720164,0.1300176827396996,0.23764263652797826
Morocco,0.2976965157654812,0.1341680592029745,0.23228513314047852
"Tajikistan, Republic of",0.3362554704589436,0.0736291902246616,0.2312049583652308
"Equatorial Guinea, Republic of",0.2994444417098773,0.0396784944541562,0.19553806280758884
Kyrgyz Republic,0.3166353928622659,0.0,0.18998123571735953
"Venezuela, República Bolivariana de",0.2688525004183056,0.060866067493609,0.18565792724842697
Turkmenistan,0.2629438204503774,0.0432681312996418,0.17507354479008314
